SurveyPeriod,MALL total,Proportion_Mig,Harvest Weight,Proportion_Harvest,Zone
1,0,0,0,0,High Plains
2,200,0.034764471,0,0,High Plains
3,70,0.012167565,0,0,High Plains
4,186,0.032330958,0,0,High Plains
5,732,0.127237963,150.816398,1,High Plains
6,5694,0.989744481,0,0,High Plains
7,751,0.130540588,0,0,High Plains
8,903,0.156961585,0,0,High Plains
9,5753,1,0,0,High Plains
10,0,0,0,0,High Plains
1,3749,0.009519147,0,0,Low Plains Early
2,3574,0,0,0,Low Plains Early
3,3915,0.018548738,452.449194,0.088235294,Low Plains Early
4,4600,0.055809399,2413.062368,0.470588235,Low Plains Early
5,5940,0.128698869,3317.960756,0.647058824,Low Plains Early
6,12201,0.469266754,3317.960756,0.647058824,Low Plains Early
7,16385,0.696855962,0,0,Low Plains Early
8,21958,1,5127.757532,1,Low Plains Early
9,7955,0.238305048,1508.16398,0.294117647,Low Plains Early
10,8473,0.266481723,301.632796,0.058823529,Low Plains Early
1,2253,0.004190238,0,0,Low Plains Late
2,1676,0,0,0,Low Plains Late
3,1874,0.001437898,452.449194,0.045454545,Low Plains Late
4,8485,0.049447716,1357.347582,0.136363636,Low Plains Late
5,13848,0.08839442,7088.370706,0.712121212,Low Plains Late
6,88741,0.632275728,6485.105114,0.651515152,Low Plains Late
7,81463,0.579422081,5429.390328,0.545454545,Low Plains Late
8,64094,0.453286469,9350.616676,0.939393939,Low Plains Late
9,139377,1,3317.960756,0.333333333,Low Plains Late
10,110830,0.792688506,9953.882268,1,Low Plains Late
1,12,0.000104857,0,0,Southeast
2,0,0,0,0,Southeast
3,300,0.002621415,0,0,Southeast
4,2379,0.020787823,0,0,Southeast
5,32392,0.283042939,603.265592,0.042105263,Southeast
6,63268,0.552838993,7540.8199,0.526315789,Southeast
7,77148,0.674123137,12668.57743,0.884210526,Southeast
8,79460,0.69432551,14327.55781,1,Southeast
9,114442,1,9803.06587,0.684210526,Southeast
10,59182,0.517135317,7390.003502,0.515789474,Southeast
