SurveyPeriod,MALL total,Proportion_Mig,Harvest Weight,Proportion_Harvest,Zone
1,37,0,0,0,High Plains
2,445,0.039313933,0,0,High Plains
3,198,0.015513586,0,0,High Plains
4,680,0.061957988,81.337568,0.166666667,High Plains
5,7278,0.697725959,0,0,High Plains
6,4778,0.456831759,0,0,High Plains
7,10415,1,0,0,High Plains
8,9200,0.882925419,488.025408,1,High Plains
9,7452,0.714492195,0,0,High Plains
10,7595,0.728271343,0,0,High Plains
1,776,0,0,0,Low Plains Early
2,1105,0.012994194,0,0,Low Plains Early
3,991,0.008491647,0,0,Low Plains Early
4,3100,0.091788775,813.37568,0.833333333,Low Plains Early
5,22200,0.846162961,976.050816,1,Low Plains Early
6,6647,0.231881196,81.337568,0.083333333,Low Plains Early
7,4611,0.151467278,0,0,Low Plains Early
8,26095,1,488.025408,0.5,Low Plains Early
9,2132,0.053556618,0,0,Low Plains Early
10,5535,0.18796161,0,0,Low Plains Early
1,663,0,0,0,Low Plains Late
2,1278,0.006333481,0,0,Low Plains Late
3,2504,0.018959249,81.337568,0.008130081,Low Plains Late
4,12927,0.126298879,1545.413792,0.154471545,Low Plains Late
5,57911,0.58955954,6669.680576,0.666666667,Low Plains Late
6,95995,0.981761635,7157.705984,0.715447154,Low Plains Late
7,94532,0.966695159,6262.992736,0.62601626,Low Plains Late
8,81119,0.828563484,10004.52086,1,Low Plains Late
9,97766,1,244.012704,0.024390244,Low Plains Late
10,59302,0.603884535,3172.165152,0.317073171,Low Plains Late
1,0,0,0,0,Southeast
2,5,3.54E-05,0,0,Southeast
3,2381,0.016850076,0,0,Southeast
4,11863,0.083953151,81.337568,0.009090909,Southeast
5,41164,0.291313117,4473.56624,0.5,Southeast
6,94295,0.667315382,7808.406528,0.872727273,Southeast
7,141305,1,8947.13248,1,Southeast
8,94185,0.666536924,6344.330304,0.709090909,Southeast
9,88336,0.625144192,3904.203264,0.436363636,Southeast
10,89833,0.635738297,2602.802176,0.290909091,Southeast
