SurveyPeriod,MALL total,Proportion_Mig,Harvest Weight,Proportion_Harvest,Zone,Season
1,0,0,0,0,High Plains,2010_2011
1,0,0,0,0,Southeast,2010_2011
2,0,0,0,0,Southeast,2010_2011
1,0,0,0,0,High Plains,2011_2012
2,0,0,0,0,High Plains,2011_2012
3,0,0,0,0,High Plains,2011_2012
4,0,0,0,0,High Plains,2011_2012
8,0,0,1112.202,1,High Plains,2011_2012
8,0,0,1588.86,0.833333333,Low Plains Early,2011_2012
8,0,0,12869.766,1,Low Plains Late,2011_2012
8,0,0,9215.388,1,Southeast,2011_2012
1,0,0,0,0,High Plains,2012_2013
1,0,0,0,0,High Plains,2013_2014
1,0,0,0,0,High Plains,2014_2015
2,0,0,0,0,High Plains,2014_2015
3,0,0,0,0,High Plains,2014_2015
1,0,0,0,0,High Plains,2015_2016
10,0,0,0,0,High Plains,2015_2016
2,0,0,0,0,Southeast,2015_2016
1,0,0,0,0,Southeast,2016_2017
2,0,0,0,0,Southeast,2016_2017
1,0,0,0,0,Southeast,2018_2019
3,4,0.000442674,0,0,High Plains,2012_2013
1,4,0,0,0,Low Plains Early,2012_2013
2,5,3.54E-05,0,0,Southeast,2018_2019
6,6,0.000737372,0,0,High Plains,2011_2012
1,7,0,0,0,High Plains,2019_2020
2,10,5.00E-04,0,0,High Plains,2010_2011
10,10,0,0,0,Low Plains Early,2010_2011
2,10,0.000806127,0,0,High Plains,2013_2014
3,10,0.000806127,0,0,High Plains,2013_2014
1,10,0,0,0,Southeast,2013_2014
1,10,0,0,0,High Plains,2016_2017
1,10,0,0,0,Southeast,2017_2018
1,12,0.000104857,0,0,Southeast,2015_2016
1,12,0,0,0,Southeast,2019_2020
2,15,0.001660027,0,0,High Plains,2012_2013
3,18,0.00019626,0,0,Southeast,2016_2017
2,19,4.42E-05,0,0,Southeast,2017_2018
2,20,8.53E-05,0,0,Southeast,2019_2020
3,22,0.001977805,159.179837,0.111111111,Low Plains Early,2012_2013
4,25,0.004032258,0,0,High Plains,2014_2015
1,25,0,0,0,High Plains,2017_2018
5,32,0.003932653,0,0,High Plains,2011_2012
2,33,0.000195928,0,0,Southeast,2013_2014
2,35,0.002233033,0,0,High Plains,2019_2020
1,37,0,0,0,High Plains,2018_2019
9,47,0,0,0,Low Plains Early,2017_2018
3,50,0.0025,0,0,High Plains,2010_2011
